time,p_x,p_y,p_z
2.051999999999999957e+01,-4.043450355529785156e-01,-6.489044427871704102e-01,1.111126065254211426e+00
2.053000000000000114e+01,-3.930899500846862793e-01,-6.493254303932189941e-01,1.113256454467773438e+00
2.053999999999999915e+01,-3.816828727722167969e-01,-6.496919393539428711e-01,1.115321516990661621e+00
2.055000000000000071e+01,-3.701321780681610107e-01,-6.500037908554077148e-01,1.117318272590637207e+00
2.055999999999999872e+01,-3.584463298320770264e-01,-6.502608656883239746e-01,1.119241476058959961e+00
2.057000000000000028e+01,-3.466320633888244629e-01,-6.504628062248229980e-01,1.121097445487976074e+00
2.057999999999999829e+01,-3.346982300281524658e-01,-6.506100893020629883e-01,1.122875452041625977e+00
2.058999999999999986e+01,-3.226515054702758789e-01,-6.507024765014648438e-01,1.124583363533020020e+00
2.060000000000000142e+01,-3.104994893074035645e-01,-6.507405638694763184e-01,1.126218914985656738e+00
2.060999999999999943e+01,-2.982499599456787109e-01,-6.507253646850585938e-01,1.127777457237243652e+00
2.062000000000000099e+01,-2.859100103378295898e-01,-6.506577730178833008e-01,1.129258036613464355e+00
2.062999999999999901e+01,-2.734866440296173096e-01,-6.505386233329772949e-01,1.130660414695739746e+00
2.064000000000000057e+01,-2.609854638576507568e-01,-6.503683924674987793e-01,1.132001042366027832e+00
2.064999999999999858e+01,-2.484148442745208740e-01,-6.501492857933044434e-01,1.133261561393737793e+00
2.066000000000000014e+01,-2.357812374830245972e-01,-6.498825550079345703e-01,1.134443521499633789e+00
2.067000000000000171e+01,-2.230909913778305054e-01,-6.495696306228637695e-01,1.135550618171691895e+00
2.067999999999999972e+01,-2.103508859872817993e-01,-6.492120623588562012e-01,1.136581301689147949e+00
2.069000000000000128e+01,-1.975672096014022827e-01,-6.488116979598999023e-01,1.137535810470581055e+00
