time,p_x,p_y,p_z
2.541000000000000014e+01,6.398640275001525879e-01,-7.789900302886962891e-01,8.769280910491943359e-01
2.542000000000000171e+01,6.350688934326171875e-01,-7.761645317077636719e-01,8.771327137947082520e-01
2.542999999999999972e+01,6.301491260528564453e-01,-7.732357978820800781e-01,8.773129582405090332e-01
2.544000000000000128e+01,6.251077055931091309e-01,-7.702034115791320801e-01,8.774721026420593262e-01
2.544999999999999929e+01,6.199483871459960938e-01,-7.670673727989196777e-01,8.776088953018188477e-01
2.546000000000000085e+01,6.146748661994934082e-01,-7.638278007507324219e-01,8.777208328247070312e-01
2.546999999999999886e+01,6.092904210090637207e-01,-7.604845762252807617e-01,8.778096437454223633e-01
2.548000000000000043e+01,6.037984490394592285e-01,-7.570374011993408203e-01,8.778771758079528809e-01
2.548999999999999844e+01,5.982032418251037598e-01,-7.534871101379394531e-01,8.779172897338867188e-01
2.550000000000000000e+01,5.925083160400390625e-01,-7.498335242271423340e-01,8.779318928718566895e-01
2.551000000000000156e+01,5.867177248001098633e-01,-7.460774183273315430e-01,8.779190182685852051e-01
2.551999999999999957e+01,5.808354616165161133e-01,-7.422188520431518555e-01,8.778808116912841797e-01
2.553000000000000114e+01,5.748656392097473145e-01,-7.382584810256958008e-01,8.778181076049804688e-01
2.553999999999999915e+01,5.688126087188720703e-01,-7.341964840888977051e-01,8.777312040328979492e-01
2.555000000000000071e+01,5.626809597015380859e-01,-7.300342917442321777e-01,8.776164650917053223e-01
2.555999999999999872e+01,5.564752221107482910e-01,-7.257726788520812988e-01,8.774708509445190430e-01
2.557000000000000028e+01,5.501995682716369629e-01,-7.214127182960510254e-01,8.772954344749450684e-01
2.557999999999999829e+01,5.438580513000488281e-01,-7.169551849365234375e-01,8.770897388458251953e-01
2.558999999999999986e+01,5.374543070793151855e-01,-7.124005556106567383e-01,8.768621683120727539e-01
2.560000000000000142e+01,5.309928655624389648e-01,-7.077499628067016602e-01,8.766124844551086426e-01
2.560999999999999943e+01,5.244780182838439941e-01,-7.030054330825805664e-01,8.763381838798522949e-01
